Verbundene, kürzlich erstellte Speicherauszugsprotokolle für App cuba-ordermanagement in Organisation cuba-ordermanagement / Bereich development als mario@die-davids.de...

2016-03-09T11:33:20.19+0100 [APP/0]      OUT 10:33:20.193 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Creating instance of bean 'cuba_ConfigStorageMBean'
2016-03-09T11:33:20.20+0100 [APP/0]      OUT 10:33:20.202 [localhost-startStop-1] DEBUG o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowiring by type from bean name 'cuba_ConfigStorageCommon' to bean named 'cuba_Configuration'
2016-03-09T11:33:20.20+0100 [APP/0]      OUT 10:33:20.203 [localhost-startStop-1] DEBUG o.s.b.f.annotation.InjectionMetadata - Processing injected element of bean 'cuba_ConfigStorageCommon': AutowiredFieldElement for protected com.haulmont.cuba.security.app.LoginService com.haulmont.cuba.core.config.ConfigStorageCommon.loginService
2016-03-09T11:33:20.20+0100 [APP/0]      OUT 10:33:20.203 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Finished creating instance of bean 'cuba_ConfigStorageCommon'
2016-03-09T11:33:20.20+0100 [APP/0]      OUT 10:33:20.204 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Creating shared instance of singleton bean 'cuba_JmxRemoteLogging'
2016-03-09T11:33:20.20+0100 [APP/0]      OUT 10:33:20.208 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Finished creating instance of bean 'cuba_JmxRemoteLogging'
2016-03-09T11:33:20.21+0100 [APP/0]      OUT 10:33:20.217 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Returning cached instance of singleton bean 'cuba_Messages'
2016-03-09T11:33:20.23+0100 [APP/0]      OUT 10:33:20.233 [localhost-startStop-1] DEBUG o.s.beans.CachedIntrospectionResults - Not strongly caching class [com.haulmont.cuba.gui.config.MenuConfig] because it is not cache-safe
2016-03-09T11:33:20.23+0100 [APP/0]      OUT 10:33:20.233 [localhost-startStop-1] DEBUG o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowiring by type from bean name 'cuba_MenuConfig' to bean named 'cuba_Resources'
2016-03-09T11:33:20.23+0100 [APP/0]      OUT 10:33:20.234 [localhost-startStop-1] DEBUG o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowiring by type from bean name 'cuba_CachingFacadeMBean' to bean named 'cuba_MenuConfig'
2016-03-09T11:33:20.24+0100 [APP/0]      OUT 10:33:20.246 [localhost-startStop-1] DEBUG o.s.beans.CachedIntrospectionResults - Not strongly caching class [com.haulmont.cuba.web.app.WebStatisticsAccumulator] because it is not cache-safe
2016-03-09T11:33:20.24+0100 [APP/0]      OUT 10:33:20.247 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Finished creating instance of bean 'cuba_StatisticsCounterMBean'
2016-03-09T11:33:20.25+0100 [APP/0]      OUT 10:33:20.254 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Creating shared instance of singleton bean 'logDownloadController'
2016-03-09T11:33:20.29+0100 [APP/0]      OUT 10:33:20.295 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Returning cached instance of singleton bean 'cuba_UserSettingService'
2016-03-09T11:33:20.30+0100 [APP/0]      OUT 10:33:20.303 [localhost-startStop-1] DEBUG o.s.b.f.annotation.InjectionMetadata - Processing injected element of bean 'cuba_Folders': AutowiredFieldElement for protected com.haulmont.cuba.core.global.Messages com.haulmont.cuba.web.app.folders.FoldersBean.messages
2016-03-09T11:33:20.30+0100 [APP/0]      OUT 10:33:20.304 [localhost-startStop-1] DEBUG c.h.c.c.s.CubaDefaultListableBeanFactory - Returning cached instance of singleton bean 'cuba_Metadata'
2016-03-09T11:33:20.31+0100 [APP/0]      OUT 10:33:20.312 [localhost-startStop-1] DEBUG o.s.b.f.annotation.InjectionMetadata - Registered injected element on class [com.haulmont.cuba.web.settings.WebSettingsClient]: AutowiredFieldElement for protected com.haulmont.cuba.security.app.UserSettingService com.haulmont.cuba.web.settings.WebSettingsClient.userSettingService
2016-03-09T11:33:20.32+0100 [APP/0]      OUT 10:33:20.321 [localhost-startStop-1] DEBUG o.s.b.f.annotation.InjectionMetadata - Registered injected element on class [com.haulmont.cuba.gui.ScreensHelper]: AutowiredFieldElement for protected com.haulmont.cuba.core.global.UserSessionSource com.haulmont.cuba.gui.ScreensHelper.userSessionSource
2016-03-09T11:33:20.32+0100 [APP/0]      OUT 10:33:20.324 [localhost-startStop-1] DEBUG o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowiring by type from bean name 'cuba_ScreensHelper' to bean named 'cuba_MessageTools'
